component,name,carrier,zone,p_nom_opt,p_nom_min,unit,existing
Generator,ocgt_existing Z9,gas,Z9,190,0,MW,True
Generator,ocgt Z9,gas,Z9,0,0,MW,False
Generator,gas_ccs Z9,gas_ccs,Z9,0,0,MW,False
Generator,ccgt_existing Z10,gas,Z10,4355.99,0,MW,True
Generator,ocgt Z10,gas,Z10,0,0,MW,False
Generator,ccgt_existing Z11,gas,Z11,629.428,0,MW,True
Generator,ocgt Z11,gas,Z11,0,0,MW,False
Generator,nuclear Z12,nuclear,Z12,1198,0,MW,True
Generator,ccgt_existing Z12,gas,Z12,1940.54,0,MW,True
Generator,ocgt Z12,gas,Z12,0,0,MW,False
Generator,ccgt_existing Z13,gas,Z13,6452.38,0,MW,True
Generator,ocgt_existing Z13,gas,Z13,42,0,MW,True
Generator,ocgt Z13,gas,Z13,0,0,MW,False
Generator,gas_ccs Z13,gas_ccs,Z13,0,0,MW,False
Generator,ccgt_existing Z14,gas,Z14,1108.01,0,MW,True
Generator,ocgt_existing Z14,gas,Z14,10,0,MW,True
Generator,ocgt Z14,gas,Z14,0,0,MW,False
Generator,ccgt_existing Z15,gas,Z15,3647.03,0,MW,True
Generator,ocgt Z15,gas,Z15,0,0,MW,False
Generator,ccgt_existing Z16,gas,Z16,1246.97,0,MW,True
Generator,ocgt Z16,gas,Z16,0,0,MW,False
Generator,gas_ccs Z16,gas_ccs,Z16,0,0,MW,False
Generator,nuclear Z17,nuclear,Z17,3260,0,MW,True
Generator,ccgt_existing Z17,gas,Z17,889.283,0,MW,True
Generator,ocgt Z17,gas,Z17,0,0,MW,False
Generator,blue_h2 Teesside,blue_h2,Teesside,1200,0,MW,False
StorageUnit,battery Z1_1,battery,Z1_1,0,0,MW,False
StorageUnit,battery Z1_2,battery,Z1_2,0,0,MW,False
StorageUnit,battery Z1_3,battery,Z1_3,0,0,MW,False
StorageUnit,battery Z1_4,battery,Z1_4,0,0,MW,False
StorageUnit,battery Z2,battery,Z2,0,0,MW,False
StorageUnit,battery Z3,battery,Z3,7.40585e-09,0,MW,False
StorageUnit,battery Z4,battery,Z4,1.08266e-09,0,MW,False
StorageUnit,battery Z5,battery,Z5,1.46423e-09,0,MW,False
StorageUnit,battery Z6,battery,Z6,1.75924e-09,0,MW,False
StorageUnit,battery Z7,battery,Z7,1.26602e-09,0,MW,False
StorageUnit,battery Z8,battery,Z8,3.52682e-08,0,MW,False
StorageUnit,battery Z9,battery,Z9,0,0,MW,False
StorageUnit,battery Z10,battery,Z10,2.52608e-06,0,MW,False
StorageUnit,battery Z11,battery,Z11,1.28905e-07,0,MW,False
StorageUnit,battery Z12,battery,Z12,8.85877e-08,0,MW,False
StorageUnit,battery Z13,battery,Z13,7.17905e-07,0,MW,False
StorageUnit,battery Z14,battery,Z14,1.01281e-07,0,MW,False
StorageUnit,battery Z15,battery,Z15,9.92311e-08,0,MW,False
StorageUnit,battery Z16,battery,Z16,4.76551e-07,0,MW,False
StorageUnit,battery Z17,battery,Z17,7.96049e-08,0,MW,False
StorageUnit,battery_existing Z1_1,battery,Z1_1,71,0,MW,True
StorageUnit,battery_existing Z1_3,battery,Z1_3,41,0,MW,True
StorageUnit,battery_existing Z1_4,battery,Z1_4,50,0,MW,True
StorageUnit,battery_existing Z2,battery,Z2,473.9,0,MW,True
StorageUnit,battery_existing Z3,battery,Z3,343.5,0,MW,True
StorageUnit,battery_existing Z5,battery,Z5,3117.68,0,MW,True
StorageUnit,battery_existing Z6,battery,Z6,1139.9,0,MW,True
